gene	p_val	avg_logFC	avg_FC	pct.1	pct.2	p_val_adj	cluster		
TREM1	0	1.01762159	2.024578511	0.897	0.434	0	3		
CLDN10	0	0.910187663	1.879289937	0.903	0.298	0	3		
PTGS2	0	0.837011189	1.786345559	0.888	0.644	0	3		
TSPAN8	0	0.821961078	1.767807368	0.708	0.218	0	3		
SLPI	0	0.818589636	1.763680993	0.727	0.143	0	3		
AGR2	0	0.802338296	1.743925362	0.938	0.748	0	3		
NAPSA	0	0.731557466	1.660430648	0.919	0.695	0	3		
FOLR1	0	0.723531078	1.651218544	0.949	0.622	0	3		
ITM2B	0	0.721557222	1.648960936	0.991	0.921	0	3		
SAA2	0	0.695495301	1.619440318	0.362	0.035	0	3		
TMEM59	0	0.635668433	1.553657427	0.968	0.748	0	3		
SRD5A3	0	0.635465458	1.553438856	0.802	0.253	0	3		
SCGB3A2	0	0.629347393	1.546865106	0.638	0.136	0	3		
AZGP1	0	0.606012109	1.522046155	0.675	0.245	0	3		
APLP2	0	0.598756719	1.51441092	0.999	0.94	0	3		
ATP1B1	0	0.588473983	1.503655408	0.784	0.329	0	3		
EPCAM	0	0.567329898	1.481778595	0.999	0.873	0	3		
PDZK1IP1	0	0.548451775	1.462515358	0.585	0.128	0	3		
SSR4	0	0.539884567	1.453856187	0.992	0.876	0	3		
FCGRT	0	0.511786235	1.425814438	0.851	0.422	0	3		
SOD3	0	0.485504091	1.40007498	0.654	0.204	0	3		
NUCB2	0	0.475636015	1.390531103	0.714	0.242	0	3		
MLEC	0	0.421800978	1.33959879	0.735	0.287	0	3		
DPP4	0	0.421457223	1.339279638	0.634	0.207	0	3		
C4BPA	0	0.418993743	1.336994697	0.496	0.104	0	3		
FAM3B	0	0.391636833	1.311880976	0.571	0.155	0	3		
ADD3	0	0.360796428	1.284134598	0.621	0.203	0	3		
ARSE	0	0.274423884	1.209510995	0.365	0.065	0	3		
SLC34A2	7.81E-306	0.591890784	1.507220804	0.914	0.621	1.62E-301	3		
CD63	1.64E-304	0.486758086	1.401292458	0.998	0.964	3.39E-300	3		
PCSK1N	1.26E-302	0.451283012	1.367255638	0.759	0.297	2.60E-298	3		
TCIM	7.57E-302	0.627009999	1.54436097	0.756	0.316	1.57E-297	3		
KRTCAP3	8.98E-302	0.402285791	1.321600183	0.67	0.244	1.86E-297	3		
RPN2	2.01E-290	0.397892334	1.317581619	0.652	0.239	4.17E-286	3		
DNAJC12	2.34E-278	0.421907523	1.339697725	0.606	0.212	4.85E-274	3		
SOD2	1.70E-276	0.441949866	1.358439077	0.581	0.197	3.52E-272	3		
LSR	2.30E-275	0.349889036	1.274462599	0.669	0.244	4.76E-271	3		
CPE	5.11E-273	0.398455652	1.318096185	0.509	0.152	1.06E-268	3		
CXCL1	3.12E-270	0.880136104	1.84054893	0.442	0.131	6.47E-266	3		
TMPRSS4	7.32E-270	0.287749443	1.220734486	0.442	0.12	1.52E-265	3		
TFPI	2.55E-267	0.31997556	1.248309402	0.516	0.159	5.29E-263	3		
TESC	2.28E-265	0.388894972	1.309390096	0.496	0.15	4.73E-261	3		
HILPDA	1.98E-262	0.547449078	1.461499239	0.466	0.142	4.09E-258	3		
PLA2G4A	3.56E-261	0.261957843	1.199104874	0.322	0.068	7.37E-257	3		
FXYD3	2.02E-260	0.430486739	1.347688186	0.631	0.238	4.19E-256	3		
CD47	1.55E-257	0.41889449	1.336902719	0.757	0.331	3.22E-253	3		
LY6K	5.32E-253	0.402583691	1.321873106	0.742	0.315	1.10E-248	3		
CCPG1	8.10E-252	0.345159072	1.270291038	0.673	0.263	1.68E-247	3		
ITGA1	2.54E-248	0.323428425	1.251300613	0.518	0.166	5.25E-244	3		
TMBIM6	9.03E-247	0.406246198	1.32523315	0.978	0.875	1.87E-242	3		
TMEM165	2.19E-243	0.384053562	1.305003396	0.71	0.3	4.54E-239	3		
CPD	1.39E-241	0.35628751	1.280127501	0.512	0.171	2.89E-237	3		
CXCL2	2.07E-241	0.735760564	1.665275142	0.57	0.223	4.28E-237	3		
CADM1	2.35E-235	0.281834824	1.215740084	0.378	0.1	4.86E-231	3		
CTSC	2.58E-235	0.500411858	1.414617347	0.764	0.358	5.34E-231	3		
TENT5A	1.74E-233	0.34617207	1.271183294	0.459	0.143	3.60E-229	3		
SELENOM	7.88E-233	0.395426752	1.315331781	0.849	0.438	1.63E-228	3		
TIMP3	6.75E-228	0.457183598	1.372859131	0.576	0.222	1.40E-223	3		
FAM3C	1.81E-224	0.473039553	1.388030773	0.94	0.746	3.75E-220	3		
ELF3	1.99E-224	0.476338437	1.391208292	0.756	0.358	4.12E-220	3		
TIMP1	2.62E-224	0.34791206	1.272717354	0.947	0.773	5.42E-220	3		
LAMP2	7.16E-224	0.322554175	1.250542575	0.611	0.236	1.48E-219	3		
LGALS3BP	1.41E-221	0.451020196	1.367006588	0.895	0.64	2.92E-217	3		
UXS1	5.77E-219	0.274929412	1.209934889	0.457	0.147	1.19E-214	3		
LRPAP1	3.39E-216	0.291809331	1.224174593	0.55	0.201	7.03E-212	3		
SEZ6L2	7.32E-215	0.284105679	1.21765521	0.561	0.206	1.52E-210	3		
HS3ST1	5.11E-213	0.319563329	1.247952765	0.371	0.107	1.06E-208	3		
TM4SF1	4.62E-211	0.487850794	1.402354209	0.94	0.807	9.57E-207	3		
PLOD2	1.38E-208	0.38238269	1.303492868	0.529	0.199	2.86E-204	3		
ERGIC3	2.21E-208	0.267272694	1.203530492	0.511	0.18	4.58E-204	3		
ANGPTL4	3.72E-208	0.514906341	1.428901373	0.558	0.226	7.70E-204	3		
CCL20	3.34E-207	1.019883287	2.027754909	0.363	0.109	6.93E-203	3		
MALAT1	2.81E-206	0.428212133	1.345565045	1	1	5.82E-202	3		
MUC1	2.81E-203	0.516385516	1.430367157	0.859	0.611	5.83E-199	3		
NNMT	3.74E-200	0.563163442	1.47750544	0.779	0.448	7.75E-196	3		
SCPEP1	2.29E-199	0.284115859	1.217663802	0.553	0.213	4.75E-195	3		
OSTC	1.10E-198	0.337882557	1.263900206	0.766	0.37	2.27E-194	3		
RCN1	5.81E-197	0.296587254	1.22823554	0.512	0.19	1.20E-192	3		
ATRAID	1.23E-196	0.305299309	1.23567497	0.558	0.221	2.54E-192	3		
SEC11C	1.50E-195	0.280359376	1.214497378	0.475	0.168	3.11E-191	3		
RCN3	1.61E-193	0.282721204	1.216487254	0.516	0.192	3.34E-189	3		
CD55	2.76E-193	0.328822418	1.255987772	0.631	0.27	5.72E-189	3		
TACSTD2	6.81E-191	0.388764546	1.309271727	0.669	0.304	1.41E-186	3		
C15orf48	1.15E-189	0.657630405	1.577489503	0.866	0.754	2.37E-185	3		
SPINT2	2.43E-188	0.363431885	1.286482547	0.895	0.61	5.03E-184	3		
FKBP2	3.31E-182	0.314888279	1.243915322	0.781	0.388	6.86E-178	3		
MDK	8.15E-182	0.452925847	1.368813456	0.882	0.657	1.69E-177	3		
LTBP3	2.72E-181	0.26886987	1.204863632	0.544	0.216	5.63E-177	3		
PLD3	5.20E-180	0.252592087	1.191345681	0.554	0.218	1.08E-175	3		
APP	2.71E-178	0.332598626	1.259279586	0.703	0.335	5.62E-174	3		
VKORC1	8.71E-178	0.300250762	1.231358424	0.581	0.246	1.80E-173	3		
LDHA	6.93E-177	0.405854278	1.324873189	0.97	0.907	1.44E-172	3		
PDIA6	1.79E-175	0.37467898	1.296551022	0.853	0.559	3.71E-171	3		
SLC25A37	2.78E-173	0.253163897	1.191817963	0.439	0.157	5.77E-169	3		
ERO1A	9.54E-172	0.377544005	1.29912838	0.542	0.231	1.98E-167	3		
SLC5A3	2.82E-171	0.313556552	1.242767615	0.499	0.196	5.85E-167	3		
JUN	1.79E-169	0.437311483	1.354078598	0.923	0.847	3.70E-165	3		
MGLL	1.12E-168	0.253735899	1.192290591	0.545	0.221	2.32E-164	3		
LMAN1	1.31E-168	0.27400131	1.209156773	0.619	0.274	2.72E-164	3		
STK17A	2.01E-168	0.284182863	1.217720356	0.64	0.288	4.16E-164	3		
KRT19	3.43E-167	0.382940453	1.303996912	0.986	0.893	7.11E-163	3		
ATP1A1	3.52E-167	0.342679443	1.268109603	0.684	0.337	7.29E-163	3		
CEBPD	7.30E-164	0.461773601	1.377233903	0.785	0.516	1.51E-159	3		
IER3	2.82E-163	0.487705495	1.40221298	0.874	0.763	5.84E-159	3		
RPS12	7.50E-154	0.405710793	1.324741429	0.999	0.996	1.55E-149	3		
OS9	2.31E-148	0.250405416	1.189541344	0.51	0.217	4.78E-144	3		
CKLF	2.48E-147	0.281367269	1.215346145	0.696	0.348	5.14E-143	3		
IFI6	1.78E-145	0.38277508	1.303847446	0.663	0.336	3.68E-141	3		
PLP2	1.06E-143	0.259927998	1.197418943	0.676	0.327	2.19E-139	3		
PON2	1.08E-142	0.277555065	1.212138931	0.585	0.27	2.24E-138	3		
MPZL2	1.48E-140	0.261333512	1.19858607	0.534	0.236	3.07E-136	3		
EREG	5.89E-140	0.435762985	1.352625995	0.545	0.254	1.22E-135	3		
BAMBI	1.35E-139	0.321202172	1.249371194	0.595	0.281	2.80E-135	3		
MYDGF	1.44E-139	0.296548768	1.228202775	0.658	0.334	2.99E-135	3		
NFKBIZ	1.73E-139	0.29804851	1.229480207	0.448	0.186	3.57E-135	3		
TNFAIP2	3.55E-139	0.251709268	1.190616892	0.272	0.081	7.35E-135	3		
P4HB	8.22E-139	0.301590499	1.232502437	0.935	0.783	1.70E-134	3		
RPL30	7.70E-138	0.255443227	1.193702418	1	0.997	1.59E-133	3		
PLTP	6.63E-137	0.338243228	1.264216218	0.494	0.216	1.37E-132	3		
LGALS3	7.50E-137	0.353711585	1.277843879	0.883	0.717	1.55E-132	3		
P4HA1	1.31E-136	0.266291433	1.202712179	0.611	0.285	2.72E-132	3		
HSP90B1	1.23E-135	0.319092728	1.247545754	0.941	0.84	2.55E-131	3		
PDIA3	2.22E-133	0.266894441	1.203214986	0.69	0.355	4.60E-129	3		
SFTA2	1.19E-129	0.365336971	1.288182476	0.721	0.387	2.46E-125	3		
SPP1	2.18E-128	0.277836403	1.212375332	0.531	0.26	4.51E-124	3		
VEGFA	3.31E-127	0.314498939	1.243579672	0.875	0.703	6.85E-123	3		
PMEPA1	1.58E-126	0.281448687	1.215414735	0.693	0.358	3.27E-122	3		
TRAM1	8.17E-126	0.271441626	1.207013345	0.733	0.393	1.69E-121	3		
CD81	2.20E-125	0.286720658	1.219864291	0.877	0.686	4.55E-121	3		
BIRC3	1.34E-120	0.259463161	1.197033196	0.41	0.17	2.77E-116	3		
NFKBIA	1.16E-116	0.715572667	1.642134922	0.759	0.689	2.39E-112	3		
MGST1	2.55E-116	0.27426403	1.209376985	0.823	0.541	5.28E-112	3		
LY6E	2.94E-116	0.309652436	1.239409074	0.921	0.806	6.09E-112	3		
CTSD	4.56E-116	0.284168121	1.217707913	0.921	0.827	9.45E-112	3		
CLEC2B	3.38E-115	0.309951202	1.239665768	0.596	0.307	7.00E-111	3		
SAT1	8.63E-115	0.344002177	1.269272801	0.928	0.9	1.79E-110	3		
NDRG1	2.26E-114	0.337941874	1.263952173	0.703	0.403	4.69E-110	3		
RALA	2.32E-114	0.270254251	1.20602035	0.622	0.321	4.81E-110	3		
PPP1R15A	1.07E-110	0.321368358	1.249515119	0.483	0.235	2.21E-106	3		
ICAM1	2.98E-105	0.271376846	1.206959148	0.392	0.172	6.18E-101	3		
CXCL3	4.56E-100	0.329005801	1.256147432	0.321	0.129	9.44E-96	3		
ERRFI1	5.37E-100	0.263130152	1.200079642	0.872	0.727	1.11E-95	3		
HSPA5	6.32E-94	0.262379174	1.199455117	0.584	0.315	1.31E-89	3		
WSB1	7.44E-91	0.320686041	1.248924305	0.892	0.836	1.54E-86	3		
PLAT	6.58E-79	0.407726026	1.326593191	0.637	0.426	1.36E-74	3		
HSPA1A	2.32E-70	0.258903806	1.196569178	0.476	0.267	4.80E-66	3		
KRT15	7.72E-68	0.259850468	1.197354595	0.661	0.426	1.60E-63	3		
HPGD	4.07E-66	0.343758859	1.26905875	0.773	0.664	8.42E-62	3		
FOSB	6.50E-58	0.255057693	1.193383465	0.455	0.269	1.35E-53	3		
S100A9	1.14E-53	0.483135696	1.397778437	0.495	0.301	2.35E-49	3		
MMP7	1.09E-49	0.47415489	1.389104264	0.791	0.71	2.26E-45	3		
G0S2	1.54E-49	0.288764818	1.221593947	0.37	0.211	3.19E-45	3		
AREG	5.52E-22	0.294505927	1.226464883	0.616	0.542	1.14E-17	3		
AREG	0	1.579321627	2.988293034	0.968	0.516	0	4		
CEACAM6	0	1.552572257	2.93339684	0.905	0.186	0	4		
EREG	0	1.423256103	2.681901224	0.938	0.227	0	4		
CEACAM5	0	1.394197113	2.628422347	0.816	0.133	0	4		
FN1	0	1.296446009	2.456230594	0.857	0.343	0	4		
LDHB	0	1.092577372	2.132546754	0.948	0.405	0	4		
HPGD	0	0.992878628	1.990152008	0.943	0.653	0	4		
BAMBI	0	0.933028699	1.909280008	0.894	0.262	0	4		
CD24	0	0.929099435	1.904087049	0.886	0.294	0	4		
HOPX	0	0.86051111	1.815681446	0.683	0.102	0	4		
TSPAN8	0	0.827401073	1.774485853	0.739	0.223	0	4		
IL37	0	0.796361412	1.736715468	0.475	0.098	0	4		
SFTA2	0	0.78985699	1.728903073	0.957	0.373	0	4		
MAL2	0	0.762892932	1.696889866	0.915	0.337	0	4		
PTPN13	0	0.759798135	1.693253685	0.721	0.127	0	4		
SLC34A2	0	0.729384503	1.657931618	0.964	0.621	0	4		
PHLDA2	0	0.716113987	1.64275119	0.846	0.307	0	4		
AC023157.3	0	0.714188374	1.640560017	0.583	0.078	0	4		
PLA2G16	0	0.701252631	1.625915894	0.96	0.522	0	4		
TXNDC17	0	0.684675759	1.607340697	0.807	0.253	0	4		
GPRC5A	0	0.682095927	1.604469013	0.798	0.236	0	4		
ELF3	0	0.681339245	1.603627702	0.854	0.356	0	4		
AZGP1	0	0.679884524	1.602011522	0.765	0.245	0	4		
HMGN3	0	0.645468317	1.564246978	0.76	0.266	0	4		
KRT18	0	0.641839935	1.560317836	0.976	0.74	0	4		
AQP3	0	0.639850264	1.55816743	0.522	0.065	0	4		
DCBLD2	0	0.62837311	1.545820828	0.709	0.12	0	4		
ADGRF1	0	0.628267777	1.54570797	0.631	0.094	0	4		
SDC1	0	0.623816178	1.540945864	0.696	0.159	0	4		
LAPTM4B	0	0.622421092	1.53945649	0.796	0.199	0	4		
SMURF2	0	0.604977119	1.520954631	0.578	0.153	0	4		
LPCAT1	0	0.600772047	1.516527907	0.775	0.232	0	4		
GPX2	0	0.596892662	1.512455465	0.603	0.086	0	4		
RDH10	0	0.58289276	1.49784959	0.459	0.07	0	4		
ATL3	0	0.574006923	1.488652398	0.776	0.206	0	4		
DPP4	0	0.571928917	1.486509741	0.75	0.204	0	4		
COL1A1	0	0.563725316	1.478080983	0.962	0.693	0	4		
NUPR1	0	0.554900199	1.469067005	0.678	0.212	0	4		
SQLE	0	0.544437251	1.458451338	0.531	0.098	0	4		
STEAP4	0	0.539467938	1.453436395	0.547	0.052	0	4		
TMEM238	0	0.528953563	1.442882243	0.809	0.225	0	4		
MUC21	0	0.514921968	1.428916851	0.415	0.047	0	4		
PPA1	0	0.50811968	1.422195385	0.854	0.318	0	4		
CFLAR	0	0.495554	1.409862043	0.662	0.217	0	4		
IMPA2	0	0.489084506	1.403553937	0.611	0.111	0	4		
CPM	0	0.488137988	1.4026334	0.637	0.158	0	4		
ST3GAL5	0	0.487931625	1.402432782	0.569	0.103	0	4		
CLDN3	0	0.466251085	1.381514865	0.591	0.107	0	4		
CYB5A	0	0.448990101	1.365084352	0.639	0.19	0	4		
COA3	0	0.435122378	1.352025515	0.765	0.235	0	4		
GARS	0	0.429043046	1.34634024	0.581	0.141	0	4		
DHCR24	0	0.428340412	1.345684693	0.589	0.127	0	4		
HOXD1	0	0.427496386	1.344897652	0.326	0.029	0	4		
AMIGO2	0	0.417036957	1.335182506	0.66	0.205	0	4		
RAMP1	0	0.416293167	1.334494322	0.606	0.138	0	4		
CAPN6	0	0.416043574	1.334263468	0.424	0.048	0	4		
BCAM	0	0.396479794	1.316292209	0.519	0.101	0	4		
UCN3	0	0.395242297	1.31516362	0.34	0.054	0	4		
CLPTM1L	0	0.39397965	1.314013092	0.66	0.186	0	4		
CDH1	0	0.392491215	1.312658118	0.537	0.114	0	4		
SOX9	0	0.387926005	1.308510957	0.459	0.098	0	4		
CKB	0	0.383538177	1.304537284	0.457	0.075	0	4		
AGL	0	0.366491298	1.289213587	0.386	0.07	0	4		
ADGRF5	0	0.361455544	1.284721407	0.421	0.066	0	4		
SERPINH1	0	0.359278123	1.282783874	0.475	0.098	0	4		
SOWAHC	0	0.349157092	1.273816171	0.403	0.051	0	4		
PHGDH	0	0.34733241	1.272206101	0.426	0.066	0	4		
CAPN12	0	0.345575348	1.27065762	0.524	0.132	0	4		
SLC1A5	0	0.337727267	1.263764168	0.449	0.076	0	4		
ALDH2	0	0.337375656	1.263456204	0.523	0.112	0	4		
SLC16A7	0	0.314249532	1.243364706	0.381	0.046	0	4		
CYTH3	0	0.314230572	1.243348365	0.414	0.07	0	4		
TGFB2	0	0.308033689	1.2380192	0.335	0.04	0	4		
BAG3	0	0.306165258	1.236416882	0.426	0.069	0	4		
FAM84B	0	0.284230395	1.217760477	0.37	0.052	0	4		
CDC42EP1	0	0.278493975	1.212928052	0.389	0.069	0	4		
AFAP1-AS1	0	0.278459083	1.212898717	0.376	0.064	0	4		
MROH6	0	0.265432108	1.201996011	0.337	0.052	0	4		
LDLR	0	0.261822192	1.198992133	0.307	0.033	0	4		
GSTP1	1.25E-307	0.519530348	1.433488517	0.989	0.863	2.59E-303	4		
ACAD8	1.07E-305	0.300605397	1.231661146	0.416	0.086	2.22E-301	4		
CXCL2	1.94E-303	0.720611602	1.647880473	0.655	0.222	4.02E-299	4		
SFN	6.06E-298	0.543441829	1.457445392	0.765	0.299	1.25E-293	4		
NAPSA	2.70E-297	0.573615018	1.488248064	0.976	0.694	5.60E-293	4		
ACSL5	1.04E-296	0.277886403	1.21241735	0.398	0.082	2.15E-292	4		
ZNF593	1.91E-296	0.303103823	1.233795956	0.528	0.136	3.95E-292	4		
TESC	7.65E-296	0.453008333	1.36889172	0.546	0.152	1.58E-291	4		
TKT	2.00E-294	0.554942275	1.46910985	0.93	0.597	4.15E-290	4		
KRT15	3.02E-290	0.739464865	1.66955644	0.844	0.415	6.25E-286	4		
HMGCS1	2.71E-289	0.329328889	1.256428774	0.326	0.057	5.61E-285	4		
SFTPA2	1.57E-285	1.087261922	2.124704079	0.351	0.07	3.25E-281	4		
GUCY1A1	6.53E-285	0.279443604	1.213726703	0.364	0.071	1.35E-280	4		
MRPL12	1.28E-284	0.314243106	1.243359167	0.493	0.126	2.66E-280	4		
ATP1A1	4.82E-284	0.507162697	1.421252313	0.795	0.333	9.98E-280	4		
SVIL	2.85E-283	0.305551435	1.235890936	0.466	0.114	5.91E-279	4		
TRAM1	3.93E-283	0.559904033	1.474171153	0.841	0.39	8.14E-279	4		
NQO1	2.34E-278	0.395574688	1.315466663	0.496	0.13	4.84E-274	4		
NME1	6.30E-271	0.434756112	1.351682311	0.728	0.276	1.31E-266	4		
SLC7A5	1.23E-268	0.257571764	1.195464894	0.349	0.069	2.55E-264	4		
GNG11	1.35E-267	0.435453094	1.352335482	0.562	0.171	2.80E-263	4		
C4BPA	7.33E-267	0.37541018	1.297208318	0.451	0.114	1.52E-262	4		
LMNA	1.37E-264	0.490136197	1.404577468	0.748	0.304	2.85E-260	4		
POLR2L	3.38E-264	0.419719983	1.337667898	0.671	0.239	7.00E-260	4		
PLEKHA5	2.36E-263	0.303789978	1.234382897	0.507	0.14	4.89E-259	4		
RNASE1	7.09E-262	0.508587905	1.422657032	0.593	0.195	1.47E-257	4		
MGST1	2.06E-261	0.474287512	1.389231965	0.926	0.537	4.26E-257	4		
TRIB1	1.64E-260	0.2883902	1.221276782	0.375	0.082	3.39E-256	4		
SHC1	8.64E-260	0.326236215	1.253738281	0.553	0.167	1.79E-255	4		
CDH11	1.58E-259	0.35112339	1.275553482	0.424	0.104	3.26E-255	4		
TOP2A	1.16E-251	0.464078537	1.379436013	0.27	0.044	2.41E-247	4		
ATP11A	2.94E-250	0.346989495	1.271903746	0.551	0.173	6.08E-246	4		
PYCR1	6.52E-248	0.261903221	1.199059475	0.45	0.115	1.35E-243	4		
LRRC59	4.74E-246	0.327316795	1.254677683	0.533	0.162	9.81E-242	4		
ICAM1	1.58E-245	0.395656538	1.315541297	0.531	0.164	3.26E-241	4		
S100A6	2.15E-245	0.60336418	1.519255148	0.999	0.993	4.45E-241	4		
EIF3A	5.83E-243	0.392932661	1.313059835	0.784	0.333	1.21E-238	4		
MMP7	6.76E-243	0.906966626	1.875098815	0.914	0.702	1.40E-238	4		
RBM47	6.67E-240	0.277470421	1.212067816	0.457	0.124	1.38E-235	4		
SRM	5.28E-239	0.299107215	1.230382778	0.467	0.128	1.09E-234	4		
SLC25A39	8.24E-239	0.276748246	1.211461239	0.543	0.164	1.71E-234	4		
TIMM13	4.48E-237	0.290382947	1.222964857	0.5	0.146	9.27E-233	4		
PAPSS2	5.51E-237	0.2528025	1.191519448	0.342	0.074	1.14E-232	4		
UQCR10	6.28E-236	0.376147236	1.297871216	0.789	0.33	1.30E-231	4		
SCD	1.44E-235	0.285138462	1.218527205	0.405	0.102	2.98E-231	4		
GGCT	3.87E-235	0.299847944	1.231014661	0.391	0.095	8.01E-231	4		
EIF4EBP1	2.14E-234	0.425317995	1.342868462	0.662	0.249	4.43E-230	4		
MT-ND4	2.44E-234	0.529885721	1.443814823	1	1	5.05E-230	4		
SLCO3A1	3.36E-233	0.252307637	1.191110812	0.349	0.078	6.96E-229	4		
DUSP5	1.03E-231	0.324451141	1.252187965	0.439	0.121	2.13E-227	4		
TARS	4.24E-231	0.268164722	1.204274874	0.444	0.12	8.77E-227	4		
MUC1	1.08E-228	0.547282809	1.461330812	0.9	0.612	2.23E-224	4		
TCEA1	1.38E-226	0.379761254	1.301126519	0.831	0.366	2.85E-222	4		
NDUFAF8	3.48E-226	0.284606813	1.218078247	0.544	0.172	7.20E-222	4		
SPATS2L	2.14E-224	0.330292487	1.257268243	0.667	0.249	4.43E-220	4		
CCND1	9.83E-223	0.542437375	1.456431022	0.759	0.356	2.04E-218	4		
JPT1	1.12E-220	0.550526291	1.464619888	0.849	0.449	2.32E-216	4		
MRPL57	1.10E-218	0.343444922	1.268782627	0.587	0.207	2.29E-214	4		
LY6K	6.76E-217	0.376179504	1.297900245	0.76	0.32	1.40E-212	4		
S100A14	8.79E-216	0.508702793	1.422770329	0.869	0.496	1.82E-211	4		
PSMB5	1.43E-212	0.314239003	1.243355631	0.626	0.231	2.97E-208	4		
PGP	1.44E-212	0.265421853	1.201987467	0.375	0.096	2.97E-208	4		
MRPS15	7.39E-212	0.273055028	1.208363933	0.454	0.132	1.53E-207	4		
AHCYL1	4.90E-210	0.312653486	1.241989939	0.579	0.207	1.01E-205	4		
RARRES3	9.93E-210	0.393520678	1.313595125	0.622	0.233	2.06E-205	4		
ERRFI1	3.63E-207	0.442612307	1.359062975	0.933	0.725	7.52E-203	4		
FDPS	4.07E-205	0.29355473	1.225656518	0.454	0.138	8.44E-201	4		
CTNNB1	2.26E-204	0.337771277	1.263802721	0.609	0.231	4.68E-200	4		
FXYD3	2.56E-204	0.383385313	1.304399066	0.633	0.244	5.31E-200	4		
RBM8A	8.85E-203	0.407740353	1.326606365	0.744	0.339	1.83E-198	4		
CYB561	1.16E-202	0.275230585	1.210187497	0.535	0.181	2.41E-198	4		
NDUFS6	3.41E-202	0.337623385	1.263673174	0.653	0.261	7.06E-198	4		
MRPL14	8.95E-202	0.316498135	1.245304141	0.568	0.203	1.85E-197	4		
LYPLA1	1.77E-200	0.30060457	1.23166044	0.578	0.21	3.68E-196	4		
EPRS	1.08E-199	0.30078368	1.23181336	0.601	0.223	2.23E-195	4		
KRT7	7.51E-198	0.531120765	1.445051355	0.895	0.595	1.55E-193	4		
PLPP2	1.22E-196	0.284006014	1.217571094	0.515	0.175	2.52E-192	4		
KRT10	2.14E-195	0.335854751	1.262124956	0.812	0.372	4.42E-191	4		
CLDN7	2.25E-193	0.292618734	1.224861591	0.594	0.221	4.66E-189	4		
SLC20A1	4.87E-192	0.288843625	1.221660678	0.398	0.115	1.01E-187	4		
CAPN1	1.10E-191	0.265704975	1.202223374	0.495	0.162	2.27E-187	4		
CD47	1.37E-191	0.372796108	1.294859987	0.749	0.338	2.83E-187	4		
PRDX1	7.10E-191	0.420893689	1.338756601	0.976	0.887	1.47E-186	4		
EMP2	5.64E-190	0.308489166	1.23841012	0.474	0.157	1.17E-185	4		
CKAP4	1.53E-189	0.251781324	1.190676359	0.43	0.13	3.16E-185	4		
KRT8	4.21E-187	0.430007778	1.347240841	0.717	0.325	8.71E-183	4		
DBI	3.52E-186	0.403170007	1.322410429	0.67	0.299	7.30E-182	4		
JTB	8.84E-185	0.328069802	1.255332727	0.749	0.342	1.83E-180	4		
DUSP6	4.87E-181	0.395854147	1.315721502	0.536	0.207	1.01E-176	4		
MRPL33	2.94E-180	0.310731256	1.240336227	0.613	0.247	6.09E-176	4		
PTP4A1	2.88E-179	0.282179431	1.216030514	0.456	0.151	5.97E-175	4		
AURKAIP1	6.58E-178	0.299307635	1.230553716	0.696	0.301	1.36E-173	4		
CLTC	1.28E-177	0.322122706	1.250168629	0.711	0.318	2.65E-173	4		
NFKBIZ	5.41E-176	0.363687244	1.286710277	0.503	0.186	1.12E-171	4		
PSMD11	7.03E-176	0.277754427	1.212306444	0.535	0.197	1.46E-171	4		
NPC2	7.60E-176	0.349226343	1.273877317	0.776	0.356	1.57E-171	4		
CENPX	7.05E-175	0.329310034	1.256412354	0.499	0.182	1.46E-170	4		
UQCRH	8.55E-174	0.335863053	1.26213222	0.955	0.818	1.77E-169	4		
KRT19	1.15E-172	0.438882742	1.355554147	0.994	0.894	2.39E-168	4		
H1F0	1.60E-171	0.304664217	1.23513113	0.459	0.158	3.32E-167	4		
SPTBN1	4.28E-171	0.290514481	1.223076363	0.535	0.201	8.87E-167	4		
ADAM15	2.48E-170	0.283294528	1.216970779	0.598	0.238	5.13E-166	4		
PHLDA1	1.39E-168	0.397668606	1.317377309	0.719	0.352	2.89E-164	4		
COPS9	2.26E-168	0.262759206	1.199771117	0.569	0.219	4.68E-164	4		
CDC42BPA	2.92E-168	0.294155164	1.226166729	0.429	0.144	6.04E-164	4		
ITGB6	1.97E-167	0.396369819	1.316191873	0.653	0.289	4.07E-163	4		
CCT6A	5.27E-166	0.273073202	1.208379155	0.587	0.235	1.09E-161	4		
LY6E	5.39E-165	0.370587624	1.292879326	0.953	0.805	1.12E-160	4		
PSMB2	5.86E-164	0.280364991	1.214502105	0.564	0.223	1.21E-159	4		
EPS8	8.02E-161	0.296046011	1.22777484	0.604	0.256	1.66E-156	4		
TOP1	3.48E-160	0.305525733	1.235868919	0.536	0.209	7.21E-156	4		
ABCC3	4.75E-160	0.289081837	1.22186241	0.612	0.253	9.83E-156	4		
GADD45GIP1	1.75E-158	0.258282059	1.196053612	0.589	0.239	3.62E-154	4		
SQSTM1	7.28E-158	0.484770414	1.399363158	0.76	0.4	1.51E-153	4		
MRPS23	8.19E-158	0.254330488	1.19278208	0.493	0.182	1.70E-153	4		
ITGAV	2.02E-156	0.322353975	1.250369051	0.609	0.262	4.19E-152	4		
CD2AP	2.25E-156	0.260167807	1.197617998	0.503	0.19	4.66E-152	4		
TENT5A	5.66E-153	0.350483936	1.274988237	0.426	0.151	1.17E-148	4		
MCL1	4.71E-152	0.304705428	1.235166413	0.692	0.317	9.75E-148	4		
